H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,5,0,.000,平内　龍太,2,8,8,0,0,2021,読　売,24,5,1,0,2,0,0,3,8,14.40
13,14,7,0,34,1,1.000,Ｒ．デラロサ,12,15,38,0,0,2021,読　売,175,41,0,1,3,2,0,46,13,2.83
0,0,0,1,54,5,.500,Ａ．サンチェス,23,40,82,0,0,2021,読　売,317,73,5,2,13,3,0,14,38,4.68
1,1,0,0,0,0,.000,大竹　寛,0,1,5,0,0,2021,読　売,11,2,0,0,0,0,0,4,1,3.86
0,0,0,0,102,6,.462,菅野　智之,25,41,90,1,2,2021,読　売,465,115,7,1,15,7,0,19,41,3.19
0,0,0,0,138,9,.529,戸郷　翔征,58,75,130,0,1,2021,読　売,639,151,8,3,19,6,0,26,72,4.27
0,0,0,0,5,0,.000,井納　翔一,1,8,11,0,0,2021,読　売,26,5,1,0,3,0,0,5,8,14.40
4,4,1,0,15,0,.000,野上　亮磨,6,3,8,0,0,2021,読　売,63,16,1,0,1,0,0,9,3,1.65
0,1,0,0,59,3,.429,今村　信貴,22,21,66,1,1,2021,読　売,274,63,4,0,5,3,0,17,19,2.71
4,5,0,0,81,5,.357,田口　麗斗,28,59,126,0,0,2021,東京ヤクルト,449,100,9,1,10,2,0,33,45,4.02
15,18,1,0,30,3,1.000,鍵谷　陽平,18,19,39,0,0,2021,読　売,182,42,0,1,5,0,0,59,15,3.19
6,7,0,0,20,1,1.000,桜井　俊貴,16,20,35,0,0,2021,読　売,145,33,0,4,7,1,0,29,20,5.40
25,29,1,0,49,4,.571,中川　皓太,10,17,47,0,0,2021,読　売,220,54,3,0,2,5,0,58,15,2.47
0,0,0,1,74,7,.583,Ｃ．Ｃ．メルセデス,22,36,96,0,0,2021,読　売,369,86,5,0,5,5,0,17,36,3.77
11,13,1,1,97,4,.571,畠　世周,25,37,83,0,0,2021,読　売,390,96,3,2,13,4,0,52,33,3.07
0,1,0,0,6,1,1.000,鍬原　拓也,5,5,6,0,0,2020,読　売,32,7,0,0,0,1,0,5,5,6.43
0,0,0,0,76,11,.550,髙橋　優貴,61,57,125,0,0,2021,読　売,598,140,9,2,18,2,0,27,53,3.39
1,1,19,0,64,0,.000,Ｔ．ビエイラ,26,18,38,0,0,2021,読　売,228,55,3,0,3,1,0,56,18,2.93
0,2,1,0,36,2,1.000,戸根　千明,24,20,25,0,0,2021,読　売,161,37,0,3,4,3,0,29,20,4.82
20,22,1,0,47,2,.500,高梨　雄平,21,17,34,0,0,2021,読　売,171,39,2,2,2,5,0,55,16,3.69
0,0,1,0,4,0,.000,直江　大輔,4,6,15,0,0,2021,読　売,51,11,1,0,1,2,0,4,6,4.91
1,2,0,0,15,1,1.000,高木　京介,7,9,22,0,0,2021,読　売,81,18,0,0,1,0,0,15,9,4.42
2,2,0,0,37,0,.000,田中　豊樹,20,13,22,0,0,2021,読　売,152,38,0,3,5,1,0,39,12,2.84
0,0,0,0,9,0,.000,横川　凱,2,4,9,0,0,2021,読　売,37,8,1,0,2,0,0,2,3,3.38
0,0,0,0,0,0,.000,古川　侑利,3,4,3,0,0,2021,読　売,11,2,0,0,1,1,0,1,4,18.00
